time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1129642200,45.2,45.5,45.03999,45.13,11988102,16092305.05,11988102,16092305.05,11988102,16092305.05,11988102,16092305.05,11988102,16092305.05,11988102,16092305.05,44.808916170285336,44.58853346375943,44.52012032380166,45.44038237147376,0.27922075260633034,0.02614295557028612,-0.2530777970360442,97.00532300416158,95.35780188254951,79.24944573128253
1129728600,45.13,46.07001,44.78,45.99001,17064800,15586029.85,17064800,15586029.85,17064800,15586029.85,17064800,15586029.85,17064800,15586029.85,17064800,15586029.85,45.071381465777485,44.78874439750808,44.65374665800151,45.460011929635414,0.30922178129539096,0.1334494295831945,-0.17577235171219646,97.46197752254368,96.5551274996006,79.43843990450509
1129815000,46.14999,46.57001,45.39999,45.60001,18926800,15422805.05,18926800,15422805.05,18926800,15422805.05,18926800,15422805.05,18926800,15422805.05,18926800,15422805.05,45.188854473382484,44.90463948357836,44.73977059818319,45.46501186071986,0.28852952221059164,0.1848895510510431,-0.10363997115954855,90.61339993063466,95.02690015244666,80.02923927924667
1129901400,45.78,46.10001,45.60001,45.72,13367500,15180224.85,13367500,15180224.85,13367500,15180224.85,13367500,15180224.85,13367500,15180224.85,13367500,15180224.85,45.30688681263082,45.021119557352876,44.82888236198472,45.474118579979866,0.26903716808062367,0.23265648894123103,-0.036380679139392635,87.64850444226697,91.90796063181511,73.21420777158986
1130160600,46.09,46.35001,45.71001,46.21001,10383801,14918220,10383801,14918220,10383801,14918220,10383801,14918220,10383801,14918220,10383801,14918220,45.50758085426842,45.190961049159604,44.95443941998611,45.50040041640916,0.27431933438252937,0.3065184888387691,0.032199154456239706,87.2635936466536,88.50849933985177,72.81560961048685
1130247000,45.96001,46.08,45.25,45.39,15002102,14950350.1,15002102,14950350.1,15002102,14950350.1,15002102,14950350.1,15002102,14950350.1,15002102,14950350.1,45.481451775542105,45.21939518499395,44.99403583635101,45.496457544394545,0.2106251450364343,0.2954805857517826,0.08485544071534828,76.91705616700649,83.94305141864237,72.32898738132769
1130333400,45.17,45.98,45.06,45.58,11937699,14591990.25,11937699,14591990.25,11937699,14591990.25,11937699,14591990.25,11937699,14591990.25,11937699,14591990.25,45.50335138097719,45.270910158566245,45.04730530577365,45.49944120352331,0.17101328824127476,0.2986220510169417,0.12760876277566696,67.01924547594962,77.06663176320325,65.1187200269616
1130419800,45.44,45.67999,44.72,44.74001,12432699,14412735.15,12432699,14412735.15,12432699,14412735.15,12432699,14412735.15,12432699,14412735.15,12432699,14412735.15,45.33371996298226,45.19506727877107,45.01936936888514,45.47231866054034,0.0824509604935415,0.23067246339259384,0.14822150289905234,34.07082293822964,59.3357081937286,58.92163099137507
1130506200,44.99001,45.55,44.75999,45.5,12748102,14367410.15,12748102,14367410.15,12748102,14367410.15,12748102,14367410.15,12748102,14367410.15,12748102,14367410.15,45.37067108231953,45.23862909608949,45.06306306262285,45.473307279806754,0.06976907278168715,0.23543284387616126,0.1656637710944741,30.7905161677907,43.96019486065668,57.652645216105476
1130769000,46.10001,47.5466,45.99001,47.31,22586704,14666045.35,22586704,14666045.35,22586704,14666045.35,22586704,14666045.35,22586704,14666045.35,22586704,14666045.35,45.801633064026305,45.53453922521956,45.267330056929865,45.538903448385085,0.17216254770108166,0.3808669557208262,0.20870440801974452,46.19124482467158,37.01752797689732,59.02387007221266
1130855400,47.12,47.23,46.83,46.99001,11788801,14555635.4,11788801,14555635.4,11788801,14555635.4,11788801,14555635.4,11788801,14555635.4,11788801,14555635.4,46.06571682757601,45.742463621616764,45.42393732448169,45.590728682371335,0.20499201635892395,0.46494442846839945,0.2599524121094755,74.05623847608503,50.345999822849116,66.35266333506166
1130941800,46.75,47.77,46.61,47.56,12651199,14476000.45,12651199,14476000.45,12651199,14476000.45,12651199,14476000.45,12651199,14476000.45,12651199,14476000.45,46.39777975478134,46.002111675671514,45.6181248404379,45.66105980085807,0.24882836474915432,0.5709878680459184,0.32215950329676407,94.45189243930612,71.56645858002092,72.82787804213562
