time,open,high,low,close,"SP500, S&P DOW JONES INDICES LLC: Open","SP500, S&P DOW JONES INDICES LLC: High","SP500, S&P DOW JONES INDICES LLC: Low","SP500, S&P DOW JONES INDICES LLC: Close",Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1621431000,140.71,143.72,140.5,141.92,4115.68,4115.68,4115.68,4115.68,11624920,7810175.9,11624920,7810175.9,11624920,7810175.9,11624920,7810175.9,11624920,7810175.9,11624920,7810175.9,140.21407183731367,139.9802765041723,139.67852435817815,138.9645893915819,0.037429253616294456,0.5416365281150206,0.5042072744987262,65.58697053965155,54.974660363465624,47.978704209757474
1621517400,141.5,142.87,140.7,142.42,4159.12,4159.12,4159.12,4159.12,10180251,7990769.9,10180251,7990769.9,10180251,7990769.9,10180251,7990769.9,10180251,7990769.9,10180251,7990769.9,140.7042780956884,140.3288084321477,139.9277494165256,139.08799691331112,0.15124846732849084,0.6932678586593397,0.5420193913308489,78.89776281109845,67.08955397134415,41.119968324497755
1621603800,142.52,143.08,141.6,141.75,4155.86,4155.86,4155.86,4155.86,7642485,7989827.55,7642485,7989827.55,7642485,7989827.55,7642485,7989827.55,7642485,7989827.55,7642485,7989827.55,140.93666074109098,140.53183579898374,140.0934085604778,139.18306845212143,0.16696012876887312,0.7507195522919403,0.5837594235230672,82.34485372045077,75.60986235706692,40.44319718858063
1621863000,141.76,142.42,141.36,141.76,4197.05,4197.05,4197.05,4197.05,6315316,7924822.8,6315316,7924822.8,6315316,7924822.8,6315316,7924822.8,6315316,7924822.8,6315316,7924822.8,141.11962502084853,140.70728782770036,140.24491687316163,139.27510172168851,0.16337172133942968,0.7879740751973543,0.6246023538579246,85.80707250170087,82.3498963444167,40.445179564878345
1621949400,141.8,142.64,141.07,142.34,4188.13,4188.13,4188.13,4188.13,7168364,8014050.35,7168364,8014050.35,7168364,8014050.35,7168364,8014050.35,7168364,8014050.35,7168364,8014050.35,141.39081946065997,140.94053242374315,140.43537897560148,139.38456237448534,0.1838782260702707,0.8544501364457631,0.6705719103754924,90.43707084465332,86.19633235560165,46.05094566369984
1622035800,142.39,142.88,141.76,142.17,4195.99,4195.99,4195.99,4195.99,6431370,8097509.05,6431370,8097509.05,6431370,8097509.05,6431370,8097509.05,6431370,8097509.05,6431370,8097509.05,141.5639706916244,141.1161706489227,140.59307179600134,139.4840422896823,0.17012962654859565,0.8832339435612369,0.7131043170126412,92.18876318193013,89.47763550942811,50.97384300478927
1622122200,143.35,143.68,141.69,141.69,4200.88,4200.88,4200.88,4200.88,18858968,8713858.15,18858968,8713858.15,18858968,8713858.15,18858968,8713858.15,18858968,8713858.15,18858968,8713858.15,141.59197720459676,141.19814627050516,140.6927925418194,139.5628264936222,0.11546008000243135,0.8574294170156804,0.7419693370132491,90.29873519666593,90.97485640774978,60.964473722288936
1622208600,141.93,142.45,141.64,142.03,4204.11,4204.11,4204.11,4204.11,7063303,8739022.95,7063303,8739022.95,7063303,8739022.95,7063303,8739022.95,7063303,8739022.95,7063303,8739022.95,141.68931560357527,141.31698251757587,140.81435685619945,139.65093983313568,0.09007527205187338,0.8545634270780909,0.7644881550262175,87.50699217115312,89.99816351658306,55.05772263237435
1622554200,142.21,142.8,141.27,141.66,4202.04,4202.04,4202.04,4202.04,6922542,8632823.3,6922542,8632823.3,6922542,8632823.3,6922542,8632823.3,6922542,8632823.3,6922542,8632823.3,141.682801025003,141.36598501506504,140.89123350563585,139.72269198195227,0.038860443416658286,0.8130637092970403,0.774203265880382,82.9854898947251,86.93040575418138,55.80736056167821
1622640600,141.39,141.7099,140.09,141.35,4208.12,4208.12,4208.12,4208.12,7765993,8703055.1,7765993,8703055.1,7765993,8703055.1,7765993,8703055.1,7765993,8703055.1,7765993,8703055.1,141.608845241669,141.36370144148432,140.93293955057806,139.78081012545397,-0.02211888680963725,0.7465546573683355,0.7686735441779727,72.75074406836829,81.08107537808216,56.08770898849503
